"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"1309",655,"RB","control",25,"Explicit",NA
"1310",655,"II","control",109,"Explicit",NA
"1311",656,"RB","task",108,"Procedural",1
"1312",656,"II","task",162,"Explicit",1
"1313",657,"RB","control",18,"Explicit",NA
"1314",657,"II","control",36,"Explicit",NA
"1315",658,"RB","task",173,"Procedural",1
"1316",658,"II","task",81,"Explicit",1
"1317",659,"RB","control",29,"Explicit",NA
"1318",659,"II","control",58,"Explicit",NA
"1319",660,"RB","task",61,"Explicit",1
"1320",660,"II","task",73,"Explicit",NA
"1321",661,"RB","control",19,"Explicit",NA
"1322",661,"II","control",15,"Explicit",NA
"1323",662,"RB","task",128,"Procedural",1
"1324",662,"II","task",39,"Explicit",1
"1325",663,"RB","control",9,"Explicit",NA
"1326",663,"II","control",124,"Explicit",NA
"1327",664,"RB","task",186,"Explicit",1
"1328",664,"II","task",39,"Explicit",NA
"1329",665,"RB","control",29,"Explicit",NA
"1330",665,"II","control",11,"Explicit",NA
"1331",666,"RB","task",58,"Explicit",NA
"1332",666,"II","task",80,"Procedural",1
"1333",667,"RB","control",10,"Explicit",NA
"1334",667,"II","control",55,"Explicit",NA
"1335",668,"RB","task",16,"Explicit",NA
"1336",668,"II","task",107,"Explicit",NA
"1337",669,"RB","control",8,"Explicit",NA
"1338",669,"II","control",10,"Explicit",NA
"1339",670,"RB","task",15,"Explicit",NA
"1340",670,"II","task",44,"Explicit",NA
"1341",671,"RB","control",33,"Explicit",NA
"1342",671,"II","control",93,"Explicit",NA
"1343",672,"RB","task",38,"Explicit",1
"1344",672,"II","task",154,"Explicit",1
"1345",673,"RB","control",8,"Explicit",NA
"1346",673,"II","control",35,"Explicit",NA
"1347",674,"RB","task",84,"Explicit",1
"1348",674,"II","task",107,"Procedural",1
"1349",675,"RB","control",21,"Explicit",NA
"1350",675,"II","control",128,"Explicit",NA
"1351",676,"RB","task",53,"Explicit",1
"1352",676,"II","task",35,"Explicit",NA
"1353",677,"RB","control",22,"Explicit",NA
"1354",677,"II","control",54,"Explicit",NA
"1355",678,"RB","task",164,"Explicit",1
"1356",678,"II","task",33,"Explicit",NA
"1357",679,"RB","control",8,"Explicit",NA
"1358",679,"II","control",16,"Explicit",NA
"1359",680,"RB","task",NA,NA,1
"1360",680,"II","task",35,"Explicit",NA
"1361",681,"RB","control",8,"Explicit",NA
"1362",681,"II","control",132,"Explicit",NA
"1363",682,"RB","task",140,"Procedural",1
"1364",682,"II","task",70,"Explicit",NA
"1365",683,"RB","control",22,"Explicit",NA
"1366",683,"II","control",40,"Explicit",NA
"1367",684,"RB","task",131,"Explicit",1
"1368",684,"II","task",28,"Explicit",NA
"1369",685,"RB","control",8,"Explicit",NA
"1370",685,"II","control",92,"Explicit",NA
"1371",686,"RB","task",67,"Explicit",1
"1372",686,"II","task",59,"Explicit",NA
"1373",687,"RB","control",11,"Explicit",NA
"1374",687,"II","control",NA,NA,1
"1375",688,"RB","task",8,"Explicit",NA
"1376",688,"II","task",10,"Explicit",NA
"1377",689,"RB","control",8,"Explicit",NA
"1378",689,"II","control",42,"Explicit",NA
"1379",690,"RB","task",151,"Explicit",1
"1380",690,"II","task",65,"Explicit",NA
"1381",691,"RB","control",8,"Explicit",NA
"1382",691,"II","control",9,"Explicit",NA
"1383",692,"RB","task",8,"Explicit",NA
"1384",692,"II","task",8,"Explicit",NA
"1385",693,"RB","control",10,"Explicit",NA
"1386",693,"II","control",15,"Explicit",NA
"1387",694,"RB","task",30,"Explicit",NA
"1388",694,"II","task",125,"Explicit",1
"1389",695,"RB","control",28,"Explicit",NA
"1390",695,"II","control",15,"Explicit",NA
"1391",696,"RB","task",NA,NA,1
"1392",696,"II","task",14,"Explicit",NA
"1393",697,"RB","control",10,"Explicit",NA
"1394",697,"II","control",179,"Explicit",1
"1395",698,"RB","task",113,"Explicit",1
"1396",698,"II","task",23,"Explicit",NA
"1397",699,"RB","control",10,"Explicit",NA
"1398",699,"II","control",36,"Explicit",NA
"1399",700,"RB","task",8,"Explicit",NA
"1400",700,"II","task",22,"Explicit",NA
"1401",701,"RB","control",17,"Explicit",NA
"1402",701,"II","control",135,"Explicit",1
"1403",702,"RB","task",8,"Explicit",NA
"1404",702,"II","task",22,"Explicit",NA
"1405",703,"RB","control",12,"Explicit",NA
"1406",703,"II","control",21,"Explicit",NA
"1407",704,"RB","task",196,"Explicit",1
"1408",704,"II","task",16,"Explicit",NA
"1409",705,"RB","control",9,"Explicit",NA
"1410",705,"II","control",29,"Explicit",NA
"1411",706,"RB","task",8,"Explicit",NA
"1412",706,"II","task",46,"Explicit",NA
"1413",707,"RB","control",20,"Explicit",NA
"1414",707,"II","control",40,"Explicit",NA
"1415",708,"RB","task",113,"Procedural",1
"1416",708,"II","task",43,"Explicit",NA
"1417",709,"RB","control",22,"Explicit",NA
"1418",709,"II","control",19,"Explicit",NA
"1419",710,"RB","task",26,"Explicit",NA
"1420",710,"II","task",179,"Explicit",1
"1421",711,"RB","control",12,"Explicit",NA
"1422",711,"II","control",74,"Explicit",NA
"1423",712,"RB","task",137,"Procedural",1
"1424",712,"II","task",14,"Explicit",NA
"1425",713,"RB","control",14,"Explicit",NA
"1426",713,"II","control",12,"Explicit",NA
"1427",714,"RB","task",118,"Procedural",1
"1428",714,"II","task",43,"Explicit",NA
"1429",715,"RB","control",20,"Explicit",NA
"1430",715,"II","control",52,"Explicit",NA
"1431",716,"RB","task",29,"Explicit",NA
"1432",716,"II","task",29,"Explicit",NA
"1433",717,"RB","control",20,"Explicit",NA
"1434",717,"II","control",136,"Explicit",1
"1435",718,"RB","task",24,"Explicit",NA
"1436",718,"II","task",NA,NA,1
"1437",719,"RB","control",8,"Explicit",NA
"1438",719,"II","control",104,"Explicit",NA
"1439",720,"RB","task",19,"Explicit",NA
"1440",720,"II","task",159,"Procedural",1
"1441",721,"RB","control",8,"Explicit",NA
"1442",721,"II","control",75,"Explicit",NA
"1443",722,"RB","task",NA,NA,1
"1444",722,"II","task",141,"Explicit",1
"1445",723,"RB","control",8,"Explicit",NA
"1446",723,"II","control",37,"Explicit",NA
"1447",724,"RB","task",25,"Explicit",NA
"1448",724,"II","task",137,"Explicit",1
"1449",725,"RB","control",44,"Explicit",NA
"1450",725,"II","control",99,"Explicit",NA
"1451",726,"RB","task",59,"Procedural",1
"1452",726,"II","task",52,"Explicit",NA
"1453",727,"RB","control",11,"Explicit",NA
"1454",727,"II","control",11,"Explicit",NA
"1455",728,"RB","task",21,"Explicit",NA
"1456",728,"II","task",48,"Explicit",NA
"1457",729,"RB","control",8,"Explicit",NA
"1458",729,"II","control",43,"Explicit",NA
"1459",730,"RB","task",134,"Procedural",1
"1460",730,"II","task",50,"Explicit",NA
"1461",731,"RB","control",11,"Explicit",NA
"1462",731,"II","control",33,"Explicit",NA
"1463",732,"RB","task",132,"Explicit",1
"1464",732,"II","task",26,"Explicit",NA
"1465",733,"RB","control",8,"Explicit",NA
"1466",733,"II","control",88,"Procedural",NA
"1467",734,"RB","task",8,"Explicit",NA
"1468",734,"II","task",165,"Explicit",1
"1469",735,"RB","control",15,"Explicit",NA
"1470",735,"II","control",26,"Explicit",NA
"1471",736,"RB","task",37,"Explicit",NA
"1472",736,"II","task",26,"Explicit",NA
"1473",737,"RB","control",8,"Explicit",NA
"1474",737,"II","control",NA,NA,1
"1475",738,"RB","task",119,"Explicit",1
"1476",738,"II","task",89,"Explicit",NA
"1477",739,"RB","control",23,"Explicit",NA
"1478",739,"II","control",22,"Explicit",NA
"1479",740,"RB","task",NA,NA,1
"1480",740,"II","task",27,"Explicit",NA
"1481",741,"RB","control",8,"Explicit",NA
"1482",741,"II","control",21,"Explicit",NA
"1483",742,"RB","task",8,"Explicit",NA
"1484",742,"II","task",31,"Explicit",NA
"1485",743,"RB","control",25,"Explicit",NA
"1486",743,"II","control",84,"Explicit",NA
"1487",744,"RB","task",16,"Explicit",NA
"1488",744,"II","task",34,"Explicit",NA
"1489",745,"RB","control",8,"Explicit",NA
"1490",745,"II","control",36,"Explicit",NA
"1491",746,"RB","task",130,"Explicit",1
"1492",746,"II","task",60,"Explicit",NA
"1493",747,"RB","control",27,"Explicit",NA
"1494",747,"II","control",179,"Explicit",1
"1495",748,"RB","task",35,"Explicit",NA
"1496",748,"II","task",NA,NA,1
"1497",749,"RB","control",8,"Explicit",NA
"1498",749,"II","control",8,"Explicit",NA
"1499",750,"RB","task",130,"Explicit",1
"1500",750,"II","task",31,"Explicit",NA
"1501",751,"RB","control",11,"Explicit",NA
"1502",751,"II","control",17,"Explicit",NA
"1503",752,"RB","task",NA,NA,1
"1504",752,"II","task",33,"Explicit",NA
"1505",753,"RB","control",8,"Explicit",NA
"1506",753,"II","control",54,"Explicit",NA
"1507",754,"RB","task",176,"Explicit",1
"1508",754,"II","task",16,"Explicit",NA
"1509",755,"RB","control",8,"Explicit",NA
"1510",755,"II","control",19,"Explicit",NA
"1511",756,"RB","task",8,"Explicit",NA
"1512",756,"II","task",34,"Explicit",NA
"1513",757,"RB","control",18,"Explicit",NA
"1514",757,"II","control",19,"Explicit",NA
"1515",758,"RB","task",8,"Explicit",NA
"1516",758,"II","task",73,"Explicit",NA
"1517",759,"RB","control",14,"Explicit",NA
"1518",759,"II","control",38,"Explicit",NA
"1519",760,"RB","task",149,"Explicit",1
"1520",760,"II","task",31,"Explicit",NA
"1521",761,"RB","control",20,"Explicit",NA
"1522",761,"II","control",NA,NA,1
"1523",762,"RB","task",87,"Explicit",1
"1524",762,"II","task",37,"Explicit",NA
"1525",763,"RB","control",8,"Explicit",NA
"1526",763,"II","control",161,"Procedural",1
"1527",764,"RB","task",20,"Explicit",NA
"1528",764,"II","task",NA,NA,1
"1529",765,"RB","control",14,"Explicit",NA
"1530",765,"II","control",149,"Explicit",1
"1531",766,"RB","task",115,"Explicit",1
"1532",766,"II","task",63,"Explicit",NA
"1533",767,"RB","control",8,"Explicit",NA
"1534",767,"II","control",30,"Explicit",NA
"1535",768,"RB","task",46,"Explicit",1
"1536",768,"II","task",145,"Procedural",1
"1537",769,"RB","control",8,"Explicit",NA
"1538",769,"II","control",22,"Explicit",NA
"1539",770,"RB","task",39,"Explicit",1
"1540",770,"II","task",26,"Explicit",NA
"1541",771,"RB","control",8,"Explicit",NA
"1542",771,"II","control",27,"Explicit",NA
"1543",772,"RB","task",8,"Explicit",NA
"1544",772,"II","task",38,"Explicit",NA
"1545",773,"RB","control",14,"Explicit",NA
"1546",773,"II","control",44,"Explicit",NA
"1547",774,"RB","task",76,"Explicit",1
"1548",774,"II","task",162,"Procedural",1
"1549",775,"RB","control",17,"Explicit",NA
"1550",775,"II","control",10,"Explicit",NA
"1551",776,"RB","task",33,"Explicit",NA
"1552",776,"II","task",134,"Explicit",1
"1553",777,"RB","control",13,"Explicit",NA
"1554",777,"II","control",53,"Explicit",NA
"1555",778,"RB","task",8,"Explicit",NA
"1556",778,"II","task",48,"Explicit",NA
"1557",779,"RB","control",13,"Explicit",NA
"1558",779,"II","control",129,"Procedural",NA
"1559",780,"RB","task",NA,NA,1
"1560",780,"II","task",19,"Explicit",NA
"1561",781,"RB","control",28,"Explicit",NA
"1562",781,"II","control",101,"Explicit",NA
"1563",782,"RB","task",11,"Explicit",NA
"1564",782,"II","task",36,"Explicit",NA
"1565",783,"RB","control",11,"Explicit",NA
"1566",783,"II","control",46,"Explicit",NA
"1567",784,"RB","task",NA,NA,1
"1568",784,"II","task",129,"Procedural",1
"1569",785,"RB","control",19,"Explicit",NA
"1570",785,"II","control",35,"Explicit",NA
"1571",786,"RB","task",47,"Explicit",1
"1572",786,"II","task",117,"Explicit",NA
"1573",787,"RB","control",8,"Explicit",NA
"1574",787,"II","control",21,"Explicit",NA
"1575",788,"RB","task",27,"Explicit",NA
"1576",788,"II","task",57,"Explicit",NA
"1577",789,"RB","control",9,"Explicit",NA
"1578",789,"II","control",58,"Explicit",NA
"1579",790,"RB","task",86,"Explicit",1
"1580",790,"II","task",NA,NA,1
"1581",791,"RB","control",12,"Explicit",NA
"1582",791,"II","control",NA,NA,1
"1583",792,"RB","task",NA,NA,1
"1584",792,"II","task",35,"Explicit",NA
"1585",793,"RB","control",9,"Explicit",NA
"1586",793,"II","control",20,"Explicit",NA
"1587",794,"RB","task",28,"Explicit",NA
"1588",794,"II","task",38,"Explicit",NA
"1589",795,"RB","control",14,"Explicit",NA
"1590",795,"II","control",29,"Explicit",NA
"1591",796,"RB","task",NA,NA,1
"1592",796,"II","task",35,"Explicit",NA
"1593",797,"RB","control",16,"Explicit",NA
"1594",797,"II","control",24,"Explicit",NA
"1595",798,"RB","task",8,"Explicit",NA
"1596",798,"II","task",50,"Explicit",NA
"1597",799,"RB","control",13,"Explicit",NA
"1598",799,"II","control",148,"Explicit",1
"1599",800,"RB","task",8,"Explicit",NA
"1600",800,"II","task",32,"Explicit",NA
"1601",801,"RB","control",17,"Explicit",NA
"1602",801,"II","control",61,"Explicit",NA
"1603",802,"RB","task",94,"Procedural",1
"1604",802,"II","task",16,"Explicit",NA
"1605",803,"RB","control",16,"Explicit",NA
"1606",803,"II","control",48,"Explicit",NA
"1607",804,"RB","task",8,"Explicit",NA
"1608",804,"II","task",25,"Explicit",NA
"1609",805,"RB","control",16,"Explicit",NA
"1610",805,"II","control",NA,NA,1
"1611",806,"RB","task",8,"Explicit",NA
"1612",806,"II","task",83,"Explicit",1
"1613",807,"RB","control",8,"Explicit",NA
"1614",807,"II","control",45,"Explicit",NA
"1615",808,"RB","task",99,"Explicit",1
"1616",808,"II","task",114,"Explicit",NA
"1617",809,"RB","control",8,"Explicit",NA
"1618",809,"II","control",NA,NA,1
"1619",810,"RB","task",27,"Explicit",NA
"1620",810,"II","task",81,"Explicit",NA
"1621",811,"RB","control",9,"Explicit",NA
"1622",811,"II","control",115,"Explicit",NA
"1623",812,"RB","task",37,"Explicit",1
"1624",812,"II","task",92,"Explicit",1
"1625",813,"RB","control",10,"Explicit",NA
"1626",813,"II","control",65,"Explicit",NA
"1627",814,"RB","task",8,"Explicit",NA
"1628",814,"II","task",33,"Explicit",NA
"1629",815,"RB","control",10,"Explicit",NA
"1630",815,"II","control",11,"Explicit",NA
"1631",816,"RB","task",8,"Explicit",NA
"1632",816,"II","task",NA,NA,1
"1633",817,"RB","control",8,"Explicit",NA
"1634",817,"II","control",72,"Explicit",NA
"1635",818,"RB","task",NA,NA,1
"1636",818,"II","task",43,"Explicit",NA
"1637",819,"RB","control",12,"Explicit",NA
"1638",819,"II","control",36,"Explicit",NA
"1639",820,"RB","task",8,"Explicit",NA
"1640",820,"II","task",54,"Explicit",NA
"1641",821,"RB","control",11,"Explicit",NA
"1642",821,"II","control",36,"Explicit",NA
"1643",822,"RB","task",74,"Explicit",1
"1644",822,"II","task",42,"Explicit",NA
"1645",823,"RB","control",22,"Explicit",NA
"1646",823,"II","control",36,"Explicit",NA
"1647",824,"RB","task",8,"Explicit",NA
"1648",824,"II","task",180,"Explicit",1
"1649",825,"RB","control",14,"Explicit",NA
"1650",825,"II","control",168,"Explicit",1
"1651",826,"RB","task",21,"Explicit",NA
"1652",826,"II","task",64,"Explicit",NA
"1653",827,"RB","control",23,"Explicit",NA
"1654",827,"II","control",38,"Explicit",NA
"1655",828,"RB","task",8,"Explicit",NA
"1656",828,"II","task",31,"Explicit",NA
"1657",829,"RB","control",34,"Explicit",NA
"1658",829,"II","control",52,"Explicit",NA
"1659",830,"RB","task",102,"Procedural",1
"1660",830,"II","task",21,"Explicit",NA
"1661",831,"RB","control",8,"Explicit",NA
"1662",831,"II","control",145,"Procedural",1
"1663",832,"RB","task",66,"Explicit",1
"1664",832,"II","task",78,"Explicit",1
"1665",833,"RB","control",8,"Explicit",NA
"1666",833,"II","control",38,"Explicit",NA
"1667",834,"RB","task",29,"Explicit",NA
"1668",834,"II","task",42,"Explicit",NA
"1669",835,"RB","control",25,"Explicit",NA
"1670",835,"II","control",NA,NA,1
"1671",836,"RB","task",8,"Explicit",NA
"1672",836,"II","task",66,"Explicit",NA
"1673",837,"RB","control",9,"Explicit",NA
"1674",837,"II","control",NA,NA,1
"1675",838,"RB","task",59,"Explicit",1
"1676",838,"II","task",36,"Explicit",NA
"1677",839,"RB","control",10,"Explicit",NA
"1678",839,"II","control",NA,NA,1
"1679",840,"RB","task",NA,NA,1
"1680",840,"II","task",35,"Explicit",NA
"1681",841,"RB","control",8,"Explicit",NA
"1682",841,"II","control",28,"Explicit",NA
"1683",842,"RB","task",17,"Explicit",NA
"1684",842,"II","task",16,"Explicit",NA
"1685",843,"RB","control",15,"Explicit",NA
"1686",843,"II","control",100,"Explicit",NA
"1687",844,"RB","task",NA,NA,1
"1688",844,"II","task",50,"Explicit",NA
"1689",845,"RB","control",12,"Explicit",NA
"1690",845,"II","control",24,"Explicit",NA
"1691",846,"RB","task",21,"Explicit",NA
"1692",846,"II","task",118,"Explicit",1
"1693",847,"RB","control",13,"Explicit",NA
"1694",847,"II","control",NA,NA,1
"1695",848,"RB","task",8,"Explicit",NA
"1696",848,"II","task",31,"Explicit",NA
"1697",849,"RB","control",8,"Explicit",NA
"1698",849,"II","control",20,"Explicit",NA
"1699",850,"RB","task",98,"Explicit",1
"1700",850,"II","task",8,"Explicit",NA
"1701",851,"RB","control",8,"Explicit",NA
"1702",851,"II","control",94,"Procedural",NA
"1703",852,"RB","task",63,"Explicit",1
"1704",852,"II","task",NA,NA,1
"1705",853,"RB","control",8,"Explicit",NA
"1706",853,"II","control",70,"Explicit",NA
"1707",854,"RB","task",94,"Explicit",1
"1708",854,"II","task",88,"Explicit",1
"1709",855,"RB","control",8,"Explicit",NA
"1710",855,"II","control",124,"Explicit",NA
"1711",856,"RB","task",46,"Explicit",NA
"1712",856,"II","task",36,"Explicit",NA
"1713",857,"RB","control",8,"Explicit",NA
"1714",857,"II","control",NA,NA,1
"1715",858,"RB","task",8,"Explicit",NA
"1716",858,"II","task",51,"Explicit",1
"1717",859,"RB","control",9,"Explicit",NA
"1718",859,"II","control",104,"Explicit",NA
"1719",860,"RB","task",11,"Explicit",NA
"1720",860,"II","task",78,"Explicit",NA
"1721",861,"RB","control",23,"Explicit",NA
"1722",861,"II","control",149,"Explicit",NA
"1723",862,"RB","task",116,"Explicit",1
"1724",862,"II","task",12,"Explicit",NA
"1725",863,"RB","control",34,"Explicit",NA
"1726",863,"II","control",18,"Explicit",NA
"1727",864,"RB","task",14,"Explicit",NA
"1728",864,"II","task",42,"Explicit",NA
"1729",865,"RB","control",13,"Explicit",NA
"1730",865,"II","control",100,"Procedural",NA
"1731",866,"RB","task",8,"Explicit",NA
"1732",866,"II","task",42,"Explicit",NA
"1733",867,"RB","control",20,"Explicit",NA
"1734",867,"II","control",36,"Explicit",NA
"1735",868,"RB","task",8,"Explicit",NA
"1736",868,"II","task",27,"Explicit",NA
"1737",869,"RB","control",8,"Explicit",NA
"1738",869,"II","control",91,"Explicit",NA
"1739",870,"RB","task",23,"Explicit",NA
"1740",870,"II","task",30,"Explicit",NA
"1741",871,"RB","control",32,"Explicit",NA
"1742",871,"II","control",72,"Explicit",NA
"1743",872,"RB","task",23,"Explicit",NA
"1744",872,"II","task",101,"Explicit",1
"1745",873,"RB","control",8,"Explicit",NA
"1746",873,"II","control",150,"Explicit",NA
"1747",874,"RB","task",85,"Explicit",1
"1748",874,"II","task",58,"Procedural",1
"1749",875,"RB","control",46,"Explicit",NA
"1750",875,"II","control",73,"Explicit",NA
"1751",876,"RB","task",8,"Explicit",NA
"1752",876,"II","task",34,"Explicit",NA
"1753",877,"RB","control",9,"Explicit",NA
"1754",877,"II","control",174,"Explicit",1
"1755",878,"RB","task",8,"Explicit",NA
"1756",878,"II","task",75,"Explicit",1
"1757",879,"RB","control",12,"Explicit",NA
"1758",879,"II","control",185,"Explicit",1
"1759",880,"RB","task",31,"Explicit",NA
"1760",880,"II","task",61,"Explicit",NA
"1761",881,"RB","control",20,"Explicit",NA
"1762",881,"II","control",92,"Explicit",NA
"1763",882,"RB","task",14,"Explicit",NA
"1764",882,"II","task",47,"Explicit",NA
"1765",883,"RB","control",10,"Explicit",NA
"1766",883,"II","control",156,"Explicit",1
"1767",884,"RB","task",NA,NA,1
"1768",884,"II","task",9,"Explicit",NA
"1769",885,"RB","control",22,"Explicit",NA
"1770",885,"II","control",47,"Explicit",NA
"1771",886,"RB","task",71,"Explicit",1
"1772",886,"II","task",49,"Explicit",NA
"1773",887,"RB","control",20,"Explicit",NA
"1774",887,"II","control",68,"Explicit",NA
"1775",888,"RB","task",8,"Explicit",NA
"1776",888,"II","task",NA,NA,1
"1777",889,"RB","control",15,"Explicit",NA
"1778",889,"II","control",34,"Explicit",NA
"1779",890,"RB","task",96,"Explicit",1
"1780",890,"II","task",26,"Explicit",NA
"1781",891,"RB","control",8,"Explicit",NA
"1782",891,"II","control",86,"Explicit",NA
"1783",892,"RB","task",166,"Explicit",1
"1784",892,"II","task",29,"Explicit",NA
"1785",893,"RB","control",16,"Explicit",NA
"1786",893,"II","control",30,"Explicit",NA
"1787",894,"RB","task",15,"Explicit",NA
"1788",894,"II","task",33,"Explicit",NA
"1789",895,"RB","control",8,"Explicit",NA
"1790",895,"II","control",66,"Explicit",NA
"1791",896,"RB","task",161,"Explicit",1
"1792",896,"II","task",18,"Explicit",NA
"1793",897,"RB","control",8,"Explicit",NA
"1794",897,"II","control",8,"Explicit",NA
"1795",898,"RB","task",76,"Explicit",1
"1796",898,"II","task",162,"Explicit",1
"1797",899,"RB","control",8,"Explicit",NA
"1798",899,"II","control",142,"Explicit",NA
"1799",900,"RB","task",118,"Explicit",1
"1800",900,"II","task",78,"Explicit",NA
"1801",901,"RB","control",8,"Explicit",NA
"1802",901,"II","control",NA,NA,1
"1803",902,"RB","task",75,"Explicit",1
"1804",902,"II","task",20,"Explicit",NA
"1805",903,"RB","control",12,"Explicit",NA
"1806",903,"II","control",53,"Explicit",NA
"1807",904,"RB","task",44,"Explicit",1
"1808",904,"II","task",21,"Explicit",NA
"1809",905,"RB","control",9,"Explicit",NA
"1810",905,"II","control",18,"Explicit",NA
"1811",906,"RB","task",112,"Explicit",1
"1812",906,"II","task",46,"Explicit",NA
"1813",907,"RB","control",8,"Explicit",NA
"1814",907,"II","control",8,"Explicit",NA
"1815",908,"RB","task",166,"Procedural",1
"1816",908,"II","task",18,"Explicit",NA
"1817",909,"RB","control",44,"Explicit",NA
"1818",909,"II","control",97,"Explicit",NA
"1819",910,"RB","task",84,"Procedural",1
"1820",910,"II","task",NA,NA,1
"1821",911,"RB","control",8,"Explicit",NA
"1822",911,"II","control",29,"Explicit",NA
"1823",912,"RB","task",NA,NA,1
"1824",912,"II","task",52,"Explicit",NA
"1825",913,"RB","control",17,"Explicit",NA
"1826",913,"II","control",54,"Explicit",NA
"1827",914,"RB","task",72,"Explicit",1
"1828",914,"II","task",66,"Explicit",NA
"1829",915,"RB","control",12,"Explicit",NA
"1830",915,"II","control",21,"Explicit",NA
"1831",916,"RB","task",8,"Explicit",NA
"1832",916,"II","task",147,"Explicit",1
"1833",917,"RB","control",18,"Explicit",NA
"1834",917,"II","control",122,"Explicit",NA
"1835",918,"RB","task",NA,NA,1
"1836",918,"II","task",163,"Explicit",1
"1837",919,"RB","control",39,"Explicit",NA
"1838",919,"II","control",27,"Explicit",NA
"1839",920,"RB","task",19,"Explicit",NA
"1840",920,"II","task",75,"Explicit",1
"1841",921,"RB","control",16,"Explicit",NA
"1842",921,"II","control",150,"Explicit",1
"1843",922,"RB","task",8,"Explicit",NA
"1844",922,"II","task",132,"Explicit",NA
"1845",923,"RB","control",41,"Explicit",NA
"1846",923,"II","control",86,"Explicit",NA
"1847",924,"RB","task",30,"Explicit",NA
"1848",924,"II","task",73,"Explicit",1
"1849",925,"RB","control",26,"Explicit",NA
"1850",925,"II","control",32,"Explicit",NA
"1851",926,"RB","task",75,"Explicit",1
"1852",926,"II","task",11,"Explicit",NA
"1853",927,"RB","control",12,"Explicit",NA
"1854",927,"II","control",28,"Explicit",NA
"1855",928,"RB","task",8,"Explicit",NA
"1856",928,"II","task",33,"Explicit",NA
"1857",929,"RB","control",12,"Explicit",NA
"1858",929,"II","control",27,"Explicit",NA
"1859",930,"RB","task",42,"Explicit",1
"1860",930,"II","task",62,"Explicit",NA
"1861",931,"RB","control",12,"Explicit",NA
"1862",931,"II","control",28,"Explicit",NA
"1863",932,"RB","task",NA,NA,1
"1864",932,"II","task",NA,NA,1
"1865",933,"RB","control",48,"Explicit",NA
"1866",933,"II","control",23,"Explicit",NA
"1867",934,"RB","task",159,"Explicit",1
"1868",934,"II","task",51,"Explicit",NA
"1869",935,"RB","control",8,"Explicit",NA
"1870",935,"II","control",32,"Explicit",NA
"1871",936,"RB","task",15,"Explicit",NA
"1872",936,"II","task",8,"Explicit",NA
"1873",937,"RB","control",9,"Explicit",NA
"1874",937,"II","control",68,"Explicit",NA
"1875",938,"RB","task",NA,NA,1
"1876",938,"II","task",59,"Explicit",NA
"1877",939,"RB","control",15,"Explicit",NA
"1878",939,"II","control",134,"Explicit",NA
"1879",940,"RB","task",8,"Explicit",NA
"1880",940,"II","task",63,"Explicit",NA
"1881",941,"RB","control",14,"Explicit",NA
"1882",941,"II","control",117,"Explicit",NA
"1883",942,"RB","task",159,"Procedural",1
"1884",942,"II","task",34,"Explicit",NA
"1885",943,"RB","control",8,"Explicit",NA
"1886",943,"II","control",104,"Explicit",NA
"1887",944,"RB","task",47,"Explicit",1
"1888",944,"II","task",10,"Explicit",NA
"1889",945,"RB","control",8,"Explicit",NA
"1890",945,"II","control",58,"Explicit",NA
"1891",946,"RB","task",66,"Explicit",1
"1892",946,"II","task",65,"Explicit",NA
"1893",947,"RB","control",8,"Explicit",NA
"1894",947,"II","control",11,"Explicit",NA
"1895",948,"RB","task",77,"Explicit",1
"1896",948,"II","task",85,"Explicit",NA
"1897",949,"RB","control",9,"Explicit",NA
"1898",949,"II","control",24,"Explicit",NA
"1899",950,"RB","task",8,"Explicit",NA
"1900",950,"II","task",9,"Explicit",NA
"1901",951,"RB","control",10,"Explicit",NA
"1902",951,"II","control",72,"Explicit",NA
"1903",952,"RB","task",128,"Explicit",1
"1904",952,"II","task",27,"Explicit",NA
"1905",953,"RB","control",17,"Explicit",NA
"1906",953,"II","control",43,"Explicit",NA
"1907",954,"RB","task",8,"Explicit",NA
"1908",954,"II","task",49,"Explicit",1
"1909",955,"RB","control",9,"Explicit",NA
"1910",955,"II","control",NA,NA,1
"1911",956,"RB","task",NA,NA,1
"1912",956,"II","task",141,"Explicit",1
"1913",957,"RB","control",8,"Explicit",NA
"1914",957,"II","control",9,"Explicit",NA
"1915",958,"RB","task",73,"Explicit",1
"1916",958,"II","task",38,"Explicit",NA
"1917",959,"RB","control",33,"Explicit",NA
"1918",959,"II","control",129,"Explicit",NA
"1919",960,"RB","task",NA,NA,1
"1920",960,"II","task",42,"Explicit",NA
"1921",961,"RB","control",19,"Explicit",NA
"1922",961,"II","control",74,"Procedural",NA
"1923",962,"RB","task",125,"Procedural",1
"1924",962,"II","task",60,"Explicit",NA
"1925",963,"RB","control",24,"Explicit",NA
"1926",963,"II","control",101,"Explicit",NA
"1927",964,"RB","task",113,"Procedural",1
"1928",964,"II","task",20,"Explicit",NA
"1929",965,"RB","control",28,"Explicit",NA
"1930",965,"II","control",50,"Explicit",NA
"1931",966,"RB","task",63,"Explicit",1
"1932",966,"II","task",50,"Explicit",NA
"1933",967,"RB","control",32,"Explicit",NA
"1934",967,"II","control",67,"Explicit",NA
"1935",968,"RB","task",8,"Explicit",NA
"1936",968,"II","task",11,"Explicit",NA
"1937",969,"RB","control",24,"Explicit",NA
"1938",969,"II","control",147,"Procedural",1
"1939",970,"RB","task",NA,NA,1
