0.54188,0.4975,0.51675,0.51262,0.48625,0.45925,,1
0.7091,0.5595,0.5822,0.5781,0.5471,0.5049,,2
0.91994,0.72806,0.7065,0.68975,0.66225,0.63631,,3
0.958,0.79031,0.754,0.73594,0.72169,0.68875,,4
0.97594,0.83519,0.79088,0.77194,0.76062,0.73044,,5
0.98725,0.87125,0.82838,0.80606,0.79812,0.77412,,6
0.99162,0.89744,0.8525,0.83337,0.82438,0.80456,,7
0.99594,0.915,0.87181,0.85419,0.84437,0.81981,,8
0.99631,0.92388,0.88581,0.86637,0.85775,0.84144,,9
0.99644,0.93325,0.89287,0.87538,0.867,0.84744,,10
0.99588,0.93638,0.89425,0.883,0.87044,0.84656,,11
0.99494,0.93544,0.90038,0.88181,0.86713,0.84531,,12
0.99562,0.94019,0.89656,0.88031,0.87112,0.84769,,13
0.99406,0.93806,0.90188,0.87694,0.87431,0.83856,,14
0.99469,0.93525,0.89869,0.88094,0.87081,0.83544,,15
0.99431,0.93481,0.896,0.88131,0.87138,0.83163,,16
0.99588,0.9335,0.89787,0.88194,0.87038,0.82775,,17
0.99513,0.93919,0.897,0.87862,0.86869,0.82744,,18
0.99687,0.93919,0.89794,0.87619,0.86781,0.82913,,19
0.99806,0.94256,0.89806,0.87725,0.86756,0.82294,,20
0.99881,0.944,0.90031,0.8785,0.86887,0.81981,,21
0.99762,0.94469,0.90225,0.87875,0.86631,0.82088,,22
0.99744,0.94506,0.90087,0.87706,0.8675,0.81769,,23
0.99787,0.94787,0.90587,0.88156,0.86781,0.81781,,24
0.99775,0.94769,0.90269,0.87969,0.86919,0.81075,,25
