"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
2,1,4,25,"AX",1,2.87554826832,"pear","orange","Stomach Ache","2016_Oct_18_1456"
2,1,4,26,"A",1,0.937944877602,"","orange","Stomach Ache","2016_Oct_18_1456"
2,1,4,27,"CY",0,2.90314992046,"banana","strawberry","No Stomach Ache","2016_Oct_18_1456"
2,1,4,28,"CY",0,5.22033177712,"strawberry","banana","No Stomach Ache","2016_Oct_18_1456"
2,1,4,29,"BY",1,0.937958561932,"banana","apple","Stomach Ache","2016_Oct_18_1456"
2,1,4,30,"BY",1,1.40672604641,"apple","banana","Stomach Ache","2016_Oct_18_1456"
2,1,4,31,"A",1,2.3316247589,"orange","","Stomach Ache","2016_Oct_18_1456"
2,1,4,32,"AX",1,3.44146844314,"orange","pear","Stomach Ache","2016_Oct_18_1456"
3,1,1,1,"AX",0,9.56473896629,"strawberry","apple","Stomach Ache","2016_Oct_18_1555"
3,1,1,2,"CY",0,3.68924978958,"pear","banana","No Stomach Ache","2016_Oct_18_1555"
3,1,1,3,"CY",0,3.87554080406,"banana","pear","No Stomach Ache","2016_Oct_18_1555"
3,1,1,4,"AX",1,2.43807814451,"apple","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,1,5,"BY",1,4.81588448666,"orange","pear","Stomach Ache","2016_Oct_18_1555"
3,1,1,6,"BY",1,1.87554111506,"pear","orange","Stomach Ache","2016_Oct_18_1555"
3,1,1,7,"A",1,1.46916277567,"","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,1,8,"A",1,0.875445946644,"strawberry","","Stomach Ache","2016_Oct_18_1555"
3,1,2,9,"BY",1,1.03319730877,"pear","orange","Stomach Ache","2016_Oct_18_1555"
3,1,2,10,"A",1,0.625484433898,"","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,2,11,"CY",0,0.625415390125,"banana","pear","No Stomach Ache","2016_Oct_18_1555"
3,1,2,12,"BY",1,1.68801757571,"orange","pear","Stomach Ache","2016_Oct_18_1555"
